#Organism Name,Organism Groups,Strain,BioSample,BioProject,Assembly,Level,Size(Mb),GC%,Replicons,WGS,Scaffolds,CDS,Release Date,GenBank FTP,RefSeq FTP
"Encephalitozoon cuniculi GB-M1","Eukaryota;Fungi;Other Fungi","GB-M1","SAMEA3138295","PRJNA13833","GCA_000091225.1"," Chromosome",2.49752,47.3005,"chromosome I:NC_003242.2/AL391737.2; chromosome II:NC_003229.1/AL590442.1; chromosome III:NC_003230.1/AL590443.1; chromosome IV:NC_003231.1/AL590444.1; chromosome V:NC_003232.1/AL590445.1; chromosome VI:NC_003233.1/AL590446.1; chromosome VII:NC_003234.1/AL590447.1; chromosome VIII:NC_003235.1/AL590448.1; chromosome IX:NC_003238.2/AL590451.2; chromosome X:NC_003236.1/AL590449.1; chromosome XI:NC_003237.1/AL590450.1",,11,1996,"2001-02-05T00:00:00Z","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/091/225/GCA_000091225.1_ASM9122v1","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/091/225/GCF_000091225.1_ASM9122v1"
"Caenorhabditis briggsae","Eukaryota;Animals;Roundworms","AF16","SAMEA3138181","PRJNA10731","GCA_000004555.3"," Chromosome",108.384,37.6966,"chromosome I:FR847112.2; chromosome II:FR847113.2; chromosome III:FR847114.2; chromosome IV:FR847118.2; chromosome V:FR847121.2; chromosome X:FR847123.2","CAAC03",638,21959,"2002-08-22T00:00:00Z","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/004/555/GCA_000004555.3_CB4",
"Caenorhabditis elegans","Eukaryota;Animals;Roundworms","Bristol N2","SAMEA3138177","PRJNA13758","GCA_000002985.3","Complete",100.286,35.4317,"chromosome I:NC_003279.8/BX284601.5; chromosome II:NC_003280.10/BX284602.5; chromosome III:NC_003281.10/BX284603.4; chromosome IV:NC_003282.8/BX284604.4; chromosome V:NC_003283.11/BX284605.5; chromosome X:NC_003284.9/BX284606.5; mitochondrion MT:NC_001328.1/X54252.1",,7,28146,"2001-12-03T00:00:00Z","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/002/985/GCA_000002985.3_WBcel235","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/002/985/GCF_000002985.6_WBcel235"
"Brugia malayi","Eukaryota;Animals;Roundworms","","SAMN02953652","PRJNA10729","GCA_000002995.2","Scaffold",93.6591,31.499,"mitochondrion MT:NC_004298.1/AF538716.1","AAQA01",24286,11472,"2002-09-25T00:00:00Z","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/002/995/GCA_000002995.2_ASM299v2","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/002/995/GCF_000002995.3_ASM299v2"
"Aedes aegypti","Eukaryota;Animals;Insects","LVP_AGWG","SAMN07177802","PRJNA392114","GCA_002204515.1"," Chromosome",1278.73,38.1667,"chromosome 1:NC_035107.1/CM008043.1; chromosome 2:NC_035108.1/CM008044.1; chromosome 3:NC_035109.1/CM008045.1; mitochondrion MT:NC_035159.1/MF194022.1","NIGP01",2310,28317,"2017-06-15T00:00:00Z","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/002/204/515/GCA_002204515.1_AaegL5.0","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/002/204/515/GCF_002204515.2_AaegL5.0"
"Aedes albopictus","Eukaryota;Animals;Insects","C6/36","SAMN05908721","PRJNA357111","GCA_001876365.2","Contig",2247.31,40.3999,"mitochondrion MT:NC_006817.1/AY072044.1","MNAF02",2435,42912,"2016-11-10T00:00:00Z","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/001/876/365/GCA_001876365.2_canu_80X_arrow2.2","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/001/876/365/GCF_001876365.2_canu_80X_arrow2.2"
"Anopheles gambiae str. PEST","Eukaryota;Animals;Insects","PEST","SAMN02952903","PRJNA1438","GCA_000005575.1"," Chromosome",265.027,44.5151,"chromosome X:NC_004818.2/CM000360.1; chromosome 2R:NT_078266.2/CM000357.1; chromosome 3R:NT_078268.4/CM000359.1; chromosome 2L:NT_078265.2/CM000356.1; chromosome 3L:NT_078267.5/CM000358.1; mitochondrion MT:NC_002084.1/L20934.1","AAAB01",8145,14099,"2002-03-22T00:00:00Z","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/005/575/GCA_000005575.1_AgamP3","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/005/575/GCF_000005575.2_AgamP3"
"Drosophila melanogaster","Eukaryota;Animals;Insects","","SAMN02803731","PRJNA13669","GCA_000001215.4"," Chromosome",143.726,42.0803,"chromosome X:NC_004354.4/AE014298.5; chromosome 2L:NT_033779.5/AE014134.6; chromosome 2R:NT_033778.4/AE013599.5; chromosome 3L:NT_037436.4/AE014296.5; chromosome 3R:NT_033777.3/AE014297.3; chromosome 4:NC_004353.4/AE014135.4; chromosome Y:NC_024512.1/CP007106.1; mitochondrion MT:NC_024511.2/KJ947872.2",,1870,30482,"2002-04-30T00:00:00Z","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/001/215/GCA_000001215.4_Release_6_plus_ISO1_MT","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/001/215/GCF_000001215.4_Release_6_plus_ISO1_MT"
"Apis mellifera","Eukaryota;Animals;Insects","DH4","SAMN00002455","PRJNA10625","GCA_000002195.1"," Chromosome",250.287,34.1338,"linkage group LG1:NC_007070.3/CM000054.5; linkage group LG2:NC_007071.3/CM000055.5; linkage group LG3:NC_007072.3/CM000059.5; linkage group LG4:NC_007073.3/CM000060.5; linkage group LG5:NC_007074.3/CM000058.5; linkage group LG6:NC_007075.3/CM000056.5; linkage group LG7:NC_007076.3/CM000063.5; linkage group LG8:NC_007077.3/CM000061.5; linkage group LG9:NC_007078.3/CM000062.5; linkage group LG10:NC_007079.3/CM000068.5; linkage group LG11:NC_007080.3/CM000057.5; linkage group LG12:NC_007081.3/CM000067.5; linkage group LG13:NC_007082.3/CM000064.5; linkage group LG14:NC_007083.3/CM000065.5; linkage group LG15:NC_007084.3/CM000066.5; linkage group LG16:NC_007085.3/CM000069.5; mitochondrion MT:NC_001566.1/L06178.1","AADG06",5645,22456,"2003-12-19T00:00:00Z","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/002/195/GCA_000002195.1_Amel_4.5","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/002/195/GCF_000002195.4_Amel_4.5"
"Danio rerio","Eukaryota;Animals;Fishes","Tuebingen","SAMN06930106","PRJNA11776","GCA_000002035.4"," Chromosome",1679.2,36.6374,"chromosome 1:NC_007112.7/CM002885.2; chromosome 2:NC_007113.7/CM002886.2; chromosome 3:NC_007114.7/CM002887.2; chromosome 4:NC_007115.7/CM002888.2; chromosome 5:NC_007116.7/CM002889.2; chromosome 6:NC_007117.7/CM002890.2; chromosome 7:NC_007118.7/CM002891.2; chromosome 8:NC_007119.7/CM002892.2; chromosome 9:NC_007120.7/CM002893.2; chromosome 10:NC_007121.7/CM002894.2; chromosome 11:NC_007122.7/CM002895.2; chromosome 12:NC_007123.7/CM002896.2; chromosome 13:NC_007124.7/CM002897.2; chromosome 14:NC_007125.7/CM002898.2; chromosome 15:NC_007126.7/CM002899.2; chromosome 16:NC_007127.7/CM002900.2; chromosome 17:NC_007128.7/CM002901.2; chromosome 18:NC_007129.7/CM002902.2; chromosome 19:NC_007130.7/CM002903.2; chromosome 20:NC_007131.7/CM002904.2; chromosome 21:NC_007132.7/CM002905.2; chromosome 22:NC_007133.7/CM002906.2; chromosome 23:NC_007134.7/CM002907.2; chromosome 24:NC_007135.7/CM002908.2; chromosome 25:NC_007136.7/CM002909.2; mitochondrion MT:NC_002333.2/AC024175.3",,2848,57100,"2005-07-05T00:00:00Z","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/002/035/GCA_000002035.4_GRCz11","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/002/035/GCF_000002035.6_GRCz11"
"Ciona intestinalis","Eukaryota;Animals;Other Animals","","","PRJDA65419","GCA_000224145.2"," Chromosome",115.227,36.0239,"chromosome 1:NC_020166.2/HT000001.2; chromosome 2:NC_020167.2/HT000007.2; chromosome 3:NC_020168.2/HT000008.2; chromosome 4:NC_020169.2/HT000009.2; chromosome 5:NC_020170.2/HT000010.2; chromosome 6:NC_020171.2/HT000011.2; chromosome 7:NC_020172.2/HT000012.2; chromosome 8:NC_020173.2/HT000013.2; chromosome 9:NC_020174.2/HT000014.2; chromosome 10:NC_020175.2/HT000002.2; chromosome 11:NC_020176.2/HT000003.2; chromosome 12:NC_020177.2/HT000004.2; chromosome 13:NC_020178.2/HT000005.2; chromosome 14:NC_020179.2/HT000006.2; mitochondrion MT:NC_017929.1/AM292218.1","EAAA01",1280,18961,"2011-04-27T00:00:00Z","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/224/145/GCA_000224145.2_KH","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/224/145/GCF_000224145.3_KH"
"Homo sapiens","Eukaryota;Animals;Mammals","","","PRJNA31257","GCA_000001405.26"," Chromosome",3253.85,41.4671,"chromosome 1:NC_000001.11/CM000663.2; chromosome 2:NC_000002.12/CM000664.2; chromosome 3:NC_000003.12/CM000665.2; chromosome 4:NC_000004.12/CM000666.2; chromosome 5:NC_000005.10/CM000667.2; chromosome 6:NC_000006.12/CM000668.2; chromosome 7:NC_000007.14/CM000669.2; chromosome 8:NC_000008.11/CM000670.2; chromosome 9:NC_000009.12/CM000671.2; chromosome 10:NC_000010.11/CM000672.2; chromosome 11:NC_000011.10/CM000673.2; chromosome 12:NC_000012.12/CM000674.2; chromosome 13:NC_000013.11/CM000675.2; chromosome 14:NC_000014.9/CM000676.2; chromosome 15:NC_000015.10/CM000677.2; chromosome 16:NC_000016.10/CM000678.2; chromosome 17:NC_000017.11/CM000679.2; chromosome 18:NC_000018.10/CM000680.2; chromosome 19:NC_000019.10/CM000681.2; chromosome 20:NC_000020.11/CM000682.2; chromosome 21:NC_000021.9/CM000683.2; chromosome 22:NC_000022.11/CM000684.2; chromosome X:NC_000023.11/CM000685.2; chromosome Y:NC_000024.10/CM000686.2; mitochondrion MT:NC_012920.1/J01415.2",,858,114419,"2002-08-02T00:00:00Z","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/001/405/GCA_000001405.26_GRCh38.p11","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/001/405/GCF_000001405.37_GRCh38.p11"
"Mus musculus","Eukaryota;Animals;Mammals","C57BL/6J","","PRJNA11777","GCA_000001635.8"," Chromosome",2818.97,41.951,"chromosome 1:NC_000067.6/CM000994.2; chromosome 2:NC_000068.7/CM000995.2; chromosome 3:NC_000069.6/CM000996.2; chromosome 4:NC_000070.6/CM000997.2; chromosome 5:NC_000071.6/CM000998.2; chromosome 6:NC_000072.6/CM000999.2; chromosome 7:NC_000073.6/CM001000.2; chromosome 8:NC_000074.6/CM001001.2; chromosome 9:NC_000075.6/CM001002.2; chromosome 10:NC_000076.6/CM001003.2; chromosome 11:NC_000077.6/CM001004.2; chromosome 12:NC_000078.6/CM001005.2; chromosome 13:NC_000079.6/CM001006.2; chromosome 14:NC_000080.6/CM001007.2; chromosome 15:NC_000081.6/CM001008.2; chromosome 16:NC_000082.6/CM001009.2; chromosome 17:NC_000083.6/CM001010.2; chromosome 18:NC_000084.6/CM001011.2; chromosome 19:NC_000085.6/CM001012.2; chromosome X:NC_000086.7/CM001013.2; chromosome Y:NC_000087.7/CM001014.2; mitochondrion MT:NC_005089.1/AY172335.1",,336,78443,"2004-09-02T00:00:00Z","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/001/635/GCA_000001635.8_GRCm38.p6","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/001/635/GCF_000001635.26_GRCm38.p6"
"Aspergillus terreus NIH2624","Eukaryota;Fungi;Ascomycetes","NIH2624","SAMN02953635","PRJNA15631","GCA_000149615.1","Scaffold",29.364,52.8,,"AAJN01",27,10401,"2005-09-09T00:00:00Z","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/149/615/GCA_000149615.1_ASM14961v1","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/149/615/GCF_000149615.1_ASM14961v1"
"Thalassiosira pseudonana CCMP1335","Eukaryota;Other;Other","CCMP1335","SAMN02744045","PRJNA191","GCA_000149405.2"," Chromosome",32.4374,46.905,"chromosome 1:NC_012064.1/CM000638.1; chromosome 2:NC_012065.1/CM000639.1; chromosome 3:NC_012066.1/CM000640.1; chromosome 4:NC_012067.1/CM000641.1; chromosome 5:NC_012068.1/CM000642.1; chromosome 6:NC_012069.1/CM000643.1; chromosome 7:NC_012070.1/CP001160.1; chromosome 8:NC_012071.1/CM000644.1; chromosome 9:NC_012072.1/CM000645.1; chromosome 10:NC_012073.1/CM000646.1; chromosome 12:NC_012075.1/CM000647.1; chromosome 13:NC_012076.1/CM000648.1; chromosome 14:NC_012077.1/CM000649.1; chromosome 15:NC_012078.1/CM000650.1; chromosome 17:NC_012080.1/CM000651.1; chromosome 18:NC_012081.1/CP001159.1; chromosome 20:NC_012083.1/CM000652.1; chromosome 22:NC_012085.1/CM000653.1; chromosome 23:NC_012086.1/CM000654.1; chromosome 24:NC_012087.1/CM000655.1","AAFD02",64,11673,"2004-10-07T00:00:00Z","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/149/405/GCA_000149405.2_ASM14940v2","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/149/405/GCF_000149405.2_ASM14940v2"
"Glossina morsitans morsitans","Eukaryota;Animals;Insects","Yale","SAMEA3146294","PRJEA59499","GCA_001077435.1","Contig",363.107,34.1,,"CCAG01",24071,0,"2014-03-12T00:00:00Z","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/001/077/435/GCA_001077435.1_ASM107743v1",
"Dictyostelium discoideum AX4","Eukaryota;Protists;Other Protists","AX4","SAMN02953606","PRJNA201","GCA_000004695.1"," Chromosome",34.205,22.4631,"chromosome 1:NC_007087.3/CM000150.2; chromosome 2:NC_007088.5/CM000151.3; chromosome 3:NC_007089.4/CM000152.2; chromosome 4:NC_007090.3/CM000153.2; chromosome 5:NC_007091.3/CM000154.2; chromosome 6:NC_007092.3/CM000155.2; plasmid Ddp5:NC_001889.1/AF000580.1; mitochondrion MT:NC_000895.1/AB000109.1","AAFI02",41,13315,"2005-03-03T00:00:00Z","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/004/695/GCA_000004695.1_dicty_2.7","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/004/695/GCF_000004695.1_dicty_2.7"
"Guillardia theta CCMP2712","Eukaryota;Other;Other","CCMP2712","SAMN00116900","PRJNA53577","GCA_000315625.1","Scaffold",87.1453,52.9,,"AEIE01",669,24822,"2012-11-02T00:00:00Z","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/315/625/GCA_000315625.1_Guith1","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/315/625/GCF_000315625.1_Guith1"
"Fusarium graminearum PH-1","Eukaryota;Fungi;Ascomycetes","PH-1; NRRL 31084","SAMN02953593","PRJNA13839","GCA_000240135.3"," Chromosome",36.458,48.3278,"chromosome 1:NC_026474.1/CM000574.1; chromosome 2:NC_026475.1/CM000575.1; chromosome 3:NC_026476.1/CM000576.1; chromosome 4:NC_026477.1/CM000577.1","AACM02",31,13313,"2003-05-09T00:00:00Z","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/240/135/GCA_000240135.3_ASM24013v3","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/240/135/GCF_000240135.3_ASM24013v3"
"Saccharomyces bayanus 623-6C","Eukaryota;Fungi;Ascomycetes","623-6C","SAMN02953590","PRJNA1443","GCA_000167035.1","Scaffold",11.8653,40.2,,"AACG02",586,0,"2003-05-22T00:00:00Z","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/167/035/GCA_000167035.1_ASM16703v1",
"Saccharomyces mikatae IFO 1815","Eukaryota;Fungi;Ascomycetes","IFO 1815","SAMN02953585","PRJNA374","GCA_000166975.1","Contig",11.4703,38,,"AABZ01",1648,0,"2003-03-28T00:00:00Z","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/166/975/GCA_000166975.1_ASM16697v1",
"Cryptococcus neoformans var. neoformans JEC21","Eukaryota;Fungi;Basidiomycetes","JEC21","SAMN03081418","PRJNA13856","GCA_000091045.1"," Chromosome",19.0519,48.5368,"chromosome 1:NC_006670.1/AE017341.1; chromosome 2:NC_006684.1/AE017342.1; chromosome 3:NC_006685.1/AE017343.1; chromosome 4:NC_006686.1/AE017344.1; chromosome 5:NC_006687.1/AE017345.1; chromosome 6:NC_006691.1/AE017346.1; chromosome 7:NC_006692.1/AE017347.1; chromosome 8:NC_006693.1/AE017348.1; chromosome 9:NC_006694.1/AE017349.1; chromosome 10:NC_006679.1/AE017350.1; chromosome 11:NC_006680.1/AE017351.1; chromosome 12:NC_006681.1/AE017352.1; chromosome 13:NC_006682.1/AE017353.1; chromosome 14:NC_006683.1/AE017356.1",,14,6475,"2005-01-07T00:00:00Z","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/091/045/GCA_000091045.1_ASM9104v1","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/091/045/GCF_000091045.1_ASM9104v1"
"Magnaporthe oryzae 70-15","Eukaryota;Fungi;Ascomycetes","70-15","SAMN02953596","PRJNA13840","GCA_000002495.2"," Chromosome",40.9791,51.5882,"chromosome 1:NC_017844.1/CM001231.1; chromosome 2:NC_017850.1/CM001232.1; chromosome 3:NC_017849.1/CM001233.1; chromosome 4:NC_017851.1/CM001234.1; chromosome 5:NC_017852.1/CM001235.1; chromosome 6:NC_017853.1/CM001236.1; chromosome 7:NC_017854.1/CM001237.1","AACU03",53,12989,"2003-10-31T00:00:00Z","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/002/495/GCA_000002495.2_MG8","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/002/495/GCF_000002495.2_MG8"
"Saccharomyces kudriavzevii FM1066","Eukaryota;Fungi;Ascomycetes","FM1066","SAMN00829192","PRJNA42347","GCA_000256765.1","Scaffold",8.72945,44.4,,"AJHS01",1633,0,"2012-03-23T00:00:00Z","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/256/765/GCA_000256765.1_Saccharomyces_kudriavzevii_strain_FM1066_v1.0",
"Takifugu rubripes","Eukaryota;Animals;Fishes","","SAMEA3138310","PRJNA1434","GCA_000180615.2"," Chromosome",391.485,45.8414,"chromosome 1:NC_018890.1/HE602535.1; chromosome 2:NC_018891.1/HE602536.1; chromosome 3:NC_018892.1/HE602537.1; chromosome 4:NC_018893.1/HE602538.1; chromosome 5:NC_018894.1/HE602539.1; chromosome 6:NC_018895.1/HE602540.1; chromosome 7:NC_018896.1/HE602541.1; chromosome 8:NC_018897.1/HE602542.1; chromosome 9:NC_018898.1/HE602543.1; chromosome 10:NC_018899.1/HE602544.1; chromosome 11:NC_018900.1/HE602545.1; chromosome 12:NC_018901.1/HE602546.1; chromosome 13:NC_018902.1/HE602547.1; chromosome 14:NC_018903.1/HE602548.1; chromosome 15:NC_018904.1/HE602549.1; chromosome 16:NC_018905.1/HE602550.1; chromosome 17:NC_018906.1/HE602551.1; chromosome 18:NC_018907.1/HE602552.1; chromosome 19:NC_018908.1/HE602553.1; chromosome 20:NC_018909.1/HE602554.1; chromosome 21:NC_018910.1/HE602555.1; chromosome 22:NC_018911.1/HE602556.1; mitochondrion MT:NC_004299.1/AJ421455.1","CAAB02",7091,31052,"2002-08-22T00:00:00Z","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/180/615/GCA_000180615.2_FUGU5","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/180/615/GCF_000180615.1_FUGU5"
"Ciona savignyi","Eukaryota;Animals;Other Animals","","SAMN02952906","PRJNA1435","GCA_000149265.1","Scaffold",587.353,37.5,,"AACT01",34009,0,"2003-10-24T00:00:00Z","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/149/265/GCA_000149265.1_ASM14926v1",
"Plasmodium yoelii","Eukaryota;Protists;Apicomplexans","17X","SAMEA1032065","PRJNA317465","GCA_900002385.1"," Chromosome",22.7559,21.9201,"chromosome 1:NC_036173.1/LM993655.1; chromosome 2:NC_036174.1/LM993656.1; chromosome 3:NC_036175.1/LM993657.1; chromosome 4:NC_036176.1/LM993658.1; chromosome 5:NC_036177.1/LM993659.1; chromosome 6:NC_036178.1/LM993660.1; chromosome 7:NC_036179.1/LM993661.1; chromosome 8:NC_036180.1/LM993662.1; chromosome 9:NC_036181.1/LM993663.1; chromosome 10:NC_036182.1/LM993664.1; chromosome 11:NC_036183.1/LM993665.1; chromosome 12:NC_036184.1/LM993666.1; chromosome 13:NC_036185.1/LM993667.1; chromosome 14:NC_036186.1/LM993668.1; mitochondrion MIT:NW_019223694.1/LM993670.1; apicoplast API:NW_019223693.1/LM993669.1",,154,5926,"2014-08-27T00:00:00Z","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/900/002/385/GCA_900002385.1_PY17X01","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/900/002/385/GCF_900002385.1_PY17X01"
"Saccharomyces paradoxus","Eukaryota;Fungi;Ascomycetes","UFRJ50816","SAMEA4461731","PRJEB7245","GCA_002079145.1"," Chromosome",12.2147,38.242,"chromosome I:CP020293.1; chromosome II:CP020294.1; chromosome III:CP020295.1; chromosome IV:CP020296.1; chromosome V:CP020297.1; chromosome VI:CP020298.1; chromosome VII:CP020299.1; chromosome VIII:CP020300.1; chromosome IX:CP020301.1; chromosome X:CP020302.1; chromosome XI:CP020303.1; chromosome XII:CP020304.1; chromosome XIII:CP020305.1; chromosome XIV:CP020306.1; chromosome XV:CP020307.1; chromosome XVI:CP020308.1; mitochondrion MT:CP020309.1",,17,0,"2017-03-21T00:00:00Z","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/002/079/145/GCA_002079145.1_ASM207914v1",
"Naumovozyma castellii CBS 4309","Eukaryota;Fungi;Ascomycetes","type strain:CBS 4309","SAMEA2271985","PRJEA70625","GCA_000237345.1"," Chromosome",11.2195,36.7559,"chromosome 1:NC_016491.1/HE576752.1; chromosome 2:NC_016492.1/HE576753.1; chromosome 3:NC_016493.1/HE576754.1; chromosome 4:NC_016494.1/HE576755.1; chromosome 5:NC_016495.1/HE576756.1; chromosome 6:NC_016496.1/HE576757.1; chromosome 7:NC_016497.1/HE576758.1; chromosome 8:NC_016498.1/HE576759.1; chromosome 9:NC_016499.1/HE576760.1; chromosome 10:NC_016500.1/HE576761.1",,10,5589,"2011-08-01T00:00:00Z","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/237/345/GCA_000237345.1_ASM23734v1","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/237/345/GCF_000237345.1_ASM23734v1"
"Lachancea kluyveri NRRL Y-12651","Eukaryota;Fungi;Ascomycetes","NRRL Y-12651","SAMN02953588","PRJNA1445","GCA_000149225.1"," Chromosome",11.5091,41.6535,"chromosome A:CM000687.1; chromosome B:CM000688.1; chromosome C:CM000689.1; chromosome D:CM000690.1; chromosome E:CM000691.1; chromosome F:CM000692.1; chromosome G:CM000693.1; chromosome H:CM000694.1","AACE03",32,0,"2003-05-22T00:00:00Z","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/149/225/GCA_000149225.1_ASM14922v1",
"Ustilago maydis 521","Eukaryota;Fungi;Basidiomycetes","521","SAMN02900459","PRJNA1446","GCA_000328475.2"," Chromosome",19.6644,54.0121,"chromosome 1:NC_026478.1/CM003140.1; chromosome 2:NC_026479.1/CM003141.1; chromosome 3:NC_026480.1/CM003142.1; chromosome 4:NC_026481.1/CM003143.1; chromosome 5:NC_026482.1/CM003144.1; chromosome 6:NC_026483.1/CM003145.1; chromosome 7:NC_026484.1/CM003146.1; chromosome 8:NC_026485.1/CM003147.1; chromosome 9:NC_026486.1/CM003148.1; chromosome 10:NC_026487.1/CM003149.1; chromosome 11:NC_026488.1/CM003150.1; chromosome 12:NC_026489.1/CM003151.1; chromosome 13:NC_026490.1/CM003152.1; chromosome 14:NC_026491.1/CM003153.1; chromosome 15:NC_026492.1/CM003154.1; chromosome 16:NC_026493.1/CM003155.1; chromosome 17:NC_026494.1/CM003156.1; chromosome 18:NC_026495.1/CM003157.1; chromosome 19:NC_026496.1/CM003158.1; chromosome 20:NC_026497.1/CM003159.1; chromosome 21:NC_026498.1/CM003160.1; chromosome 22:NC_026499.1/CM003161.1; chromosome 23:NC_026500.1/CM003162.1","AACP02",27,6783,"2003-07-29T00:00:00Z","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/328/475/GCA_000328475.2_Umaydis521_2.0","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/328/475/GCF_000328475.2_Umaydis521_2.0"
"Coprinopsis cinerea okayama7#130","Eukaryota;Fungi;Basidiomycetes","okayama7#130","SAMN02953595","PRJNA1447","GCA_000182895.1","Contig",36.1926,51.6,,"AACS02",68,13356,"2003-07-30T00:00:00Z","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/182/895/GCA_000182895.1_CC3","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/182/895/GCF_000182895.1_CC3"
"Rattus norvegicus","Eukaryota;Animals;Mammals","mixed","SAMN02808228","PRJNA10629","GCA_000001895.4"," Chromosome",2870.18,42.3282,"chromosome 1:NC_005100.4/CM000072.5; chromosome 2:NC_005101.4/CM000073.5; chromosome 3:NC_005102.4/CM000074.5; chromosome 4:NC_005103.4/CM000075.5; chromosome 5:NC_005104.4/CM000076.5; chromosome 6:NC_005105.4/CM000077.5; chromosome 7:NC_005106.4/CM000078.5; chromosome 8:NC_005107.4/CM000079.5; chromosome 9:NC_005108.4/CM000080.5; chromosome 10:NC_005109.4/CM000081.5; chromosome 11:NC_005110.4/CM000082.5; chromosome 12:NC_005111.4/CM000083.5; chromosome 13:NC_005112.4/CM000084.5; chromosome 14:NC_005113.4/CM000085.5; chromosome 15:NC_005114.4/CM000086.5; chromosome 16:NC_005115.4/CM000087.5; chromosome 17:NC_005116.4/CM000088.5; chromosome 18:NC_005117.4/CM000089.5; chromosome 19:NC_005118.4/CM000090.5; chromosome 20:NC_005119.4/CM000091.5; chromosome X:NC_005120.4/CM000092.5; chromosome Y:NC_024475.1/CM002824.1; mitochondrion MT:NC_001665.2/AY172581.1","AABR07",1395,56113,"2002-11-27T00:00:00Z","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/001/895/GCA_000001895.4_Rnor_6.0","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/001/895/GCF_000001895.5_Rnor_6.0"
